workclass,hours-per-week,sex,age,race,occupation,capital-loss,education,capital-gain,marital-status,relationship,income
Private,50,1,39,1,Craft-repair,1564,HS-grad,0,Never-married,Not-in-family,1
Private,40,1,50,1,Prof-specialty,0,Bachelors,0,Married-civ-spouse,Husband,0
Private,20,1,18,1,Handlers-cleaners,0,11th,0,Never-married,Own-child,0
Private,90,1,38,1,Prof-specialty,2415,Prof-school,0,Married-civ-spouse,Husband,1
Private,40,0,24,1,Handlers-cleaners,0,HS-grad,0,Never-married,Own-child,0
Private,40,1,36,1,Prof-specialty,0,Bachelors,0,Married-civ-spouse,Husband,1
Private,55,1,45,1,Prof-specialty,0,Masters,0,Married-civ-spouse,Husband,1
Self-emp-not-inc,70,1,55,0,Farming-fishing,0,HS-grad,0,Married-civ-spouse,Husband,0
Private,70,1,47,1,Transport-moving,0,HS-grad,0,Married-civ-spouse,Husband,1
Private,21,1,32,1,Exec-managerial,0,1st-4th,0,Never-married,Own-child,0
Private,37,1,31,0,Transport-moving,0,HS-grad,0,Married-civ-spouse,Husband,0
Private,40,1,45,1,Exec-managerial,0,Doctorate,0,Separated,Unmarried,1
Local-gov,40,1,19,1,Craft-repair,0,HS-grad,0,Never-married,Own-child,0
Private,42,1,34,1,Other-service,0,Some-college,0,Married-civ-spouse,Husband,0
Private,40,0,28,1,Adm-clerical,0,Some-college,0,Separated,Not-in-family,0
Private,16,0,17,1,Other-service,0,12th,0,Never-married,Own-child,0
Private,40,0,31,1,Sales,0,HS-grad,0,Separated,Unmarried,0
Private,46,1,33,1,Tech-support,0,HS-grad,0,Separated,Not-in-family,0
Private,40,1,30,1,Tech-support,1902,Bachelors,0,Married-civ-spouse,Husband,1
Self-emp-not-inc,40,1,39,1,Exec-managerial,0,HS-grad,0,Married-civ-spouse,Husband,0
Private,10,1,33,0,Tech-support,0,Assoc-voc,0,Married-civ-spouse,Husband,0
Private,15,1,20,1,Sales,0,Some-college,0,Never-married,Own-child,0
Private,45,1,44,1,Sales,0,Bachelors,0,Never-married,Not-in-family,0
Self-emp-not-inc,50,1,35,0,Transport-moving,0,10th,0,Married-civ-spouse,Husband,0
Private,40,0,23,1,Sales,0,Bachelors,0,Never-married,Not-in-family,0
Private,40,0,50,1,Adm-clerical,0,HS-grad,0,Divorced,Not-in-family,0
Private,25,0,19,1,Other-service,0,Some-college,0,Never-married,Own-child,0
Federal-gov,58,0,53,1,Exec-managerial,0,HS-grad,0,Widowed,Not-in-family,0
Private,40,0,47,1,Prof-specialty,0,Masters,0,Divorced,Unmarried,1
Self-emp-not-inc,65,1,25,1,Farming-fishing,0,HS-grad,0,Married-civ-spouse,Husband,0
State-gov,40,1,37,1,Prof-specialty,0,Assoc-voc,8614,Never-married,Not-in-family,1
Local-gov,35,1,37,1,Protective-serv,0,HS-grad,7688,Married-civ-spouse,Husband,1
Private,45,1,30,1,Transport-moving,0,HS-grad,0,Married-civ-spouse,Husband,0
State-gov,40,1,33,1,Prof-specialty,0,Assoc-voc,0,Married-civ-spouse,Husband,0
Private,25,0,22,1,Adm-clerical,0,Some-college,0,Never-married,Own-child,0
Private,40,0,31,1,Machine-op-inspct,0,Some-college,0,Married-civ-spouse,Wife,0
Self-emp-inc,45,1,45,1,Craft-repair,0,HS-grad,0,Married-civ-spouse,Husband,0
Private,40,1,39,0,Handlers-cleaners,0,HS-grad,0,Divorced,Own-child,0
Private,40,1,21,1,Adm-clerical,0,HS-grad,0,Never-married,Own-child,0
Private,30,0,18,1,Exec-managerial,0,HS-grad,0,Never-married,Not-in-family,0
Private,11,0,66,1,Transport-moving,0,10th,0,Widowed,Not-in-family,0
Private,30,1,34,0,Other-service,0,HS-grad,0,Married-civ-spouse,Husband,0
Private,60,0,43,1,Exec-managerial,0,Doctorate,14084,Separated,Not-in-family,1
Private,40,1,41,1,Craft-repair,0,Bachelors,0,Married-civ-spouse,Husband,0
Private,40,0,38,1,Sales,0,Prof-school,0,Married-civ-spouse,Wife,0
Private,40,1,60,0,Handlers-cleaners,0,5th-6th,0,Separated,Not-in-family,0
Private,40,1,30,1,Craft-repair,0,10th,0,Married-civ-spouse,Husband,0
Private,40,1,30,1,Handlers-cleaners,0,HS-grad,0,Married-civ-spouse,Husband,0
Private,20,0,63,0,Other-service,0,Bachelors,0,Widowed,Other-relative,0
Private,35,0,32,1,Sales,0,7th-8th,0,Separated,Unmarried,0
Federal-gov,40,1,43,1,Exec-managerial,0,Masters,0,Married-civ-spouse,Husband,1
Private,20,1,26,1,Transport-moving,0,Bachelors,0,Never-married,Own-child,0
Private,24,0,51,1,Adm-clerical,0,HS-grad,4787,Divorced,Unmarried,1
Private,66,1,49,1,Exec-managerial,0,Bachelors,7688,Married-civ-spouse,Husband,1
State-gov,40,1,50,1,Craft-repair,0,Bachelors,0,Married-civ-spouse,Husband,1
Self-emp-not-inc,40,0,44,1,Prof-specialty,0,HS-grad,0,Married-civ-spouse,Wife,1
Private,40,0,23,1,Adm-clerical,0,HS-grad,3908,Married-civ-spouse,Wife,0
Private,40,1,27,1,Craft-repair,0,9th,0,Married-civ-spouse,Husband,0
Private,25,0,21,1,Adm-clerical,0,Some-college,0,Never-married,Own-child,0
Private,40,1,41,1,Craft-repair,0,HS-grad,0,Married-civ-spouse,Husband,0
Self-emp-not-inc,30,1,61,1,Transport-moving,0,7th-8th,0,Married-civ-spouse,Husband,0
Federal-gov,40,1,40,1,Craft-repair,1579,Some-college,0,Married-civ-spouse,Husband,0
Private,45,1,33,1,Farming-fishing,0,Assoc-voc,0,Married-civ-spouse,Husband,0
Private,40,1,21,1,Handlers-cleaners,0,Assoc-acdm,0,Never-married,Own-child,0
Private,40,0,24,1,Prof-specialty,0,Bachelors,0,Never-married,Other-relative,0
Private,40,1,64,1,Farming-fishing,0,7th-8th,0,Married-civ-spouse,Husband,0
Private,55,1,36,1,Adm-clerical,0,Bachelors,0,Divorced,Not-in-family,1
Private,40,1,59,1,Farming-fishing,0,7th-8th,4865,Never-married,Unmarried,0
Private,40,0,50,1,Adm-clerical,0,9th,0,Divorced,Unmarried,0
Private,40,1,37,1,Craft-repair,0,Some-college,0,Married-civ-spouse,Husband,0
Private,40,1,37,1,Exec-managerial,0,Some-college,0,Married-civ-spouse,Husband,0
Private,35,1,43,1,Craft-repair,0,Some-college,0,Divorced,Unmarried,0
Private,40,1,52,1,Craft-repair,0,5th-6th,0,Married-spouse-absent,Other-relative,0
Private,40,1,43,1,Machine-op-inspct,0,Some-college,0,Divorced,Not-in-family,0
Self-emp-inc,50,1,58,1,Prof-specialty,1977,Prof-school,0,Married-civ-spouse,Husband,1
Federal-gov,40,0,50,0,Sales,0,11th,3674,Never-married,Not-in-family,0
Local-gov,40,1,34,0,Transport-moving,0,HS-grad,0,Divorced,Not-in-family,0
Self-emp-not-inc,14,1,72,1,Transport-moving,0,7th-8th,0,Married-civ-spouse,Husband,0
Private,55,1,46,1,Craft-repair,0,HS-grad,0,Divorced,Not-in-family,0
Private,40,0,35,1,Other-service,0,HS-grad,0,Never-married,Not-in-family,0
Private,40,1,35,1,Craft-repair,0,HS-grad,0,Married-civ-spouse,Husband,0
Private,52,0,53,1,Adm-clerical,0,Bachelors,0,Widowed,Unmarried,0
