checking_status,duration,credit_history,purpose,credit_amount,savings,employment,installment_rate,sex,other_debtors,property,age,housing,job,label
A14,6,A34,A43,1237,A62,A73,1,0,A101,A122,1,A152,A173,1
A14,12,A34,A43,522,A63,A75,4,1,A101,A122,1,A152,A173,1
A12,30,A32,A43,2991,A65,A75,2,0,A101,A123,1,A152,A173,1
A11,24,A33,A43,1659,A61,A72,4,0,A101,A123,1,A151,A172,0
A14,6,A30,A40,1204,A62,A73,4,1,A101,A124,1,A151,A173,1
A14,36,A33,A43,4454,A61,A73,4,0,A101,A121,1,A152,A173,1
A14,14,A33,A40,802,A61,A73,4,1,A101,A123,1,A152,A172,1
A12,18,A33,A45,6204,A61,A73,2,1,A101,A121,1,A152,A172,1
A11,12,A32,A40,1228,A61,A73,4,0,A101,A121,0,A152,A172,0
A11,11,A34,A40,3905,A61,A73,2,1,A101,A121,1,A151,A173,1
A11,8,A34,A410,1164,A61,A75,3,1,A101,A124,1,A153,A174,1
A11,9,A32,A40,654,A61,A73,4,1,A101,A123,1,A152,A172,0
A12,30,A32,A42,3441,A62,A73,2,0,A102,A123,0,A151,A173,0
A14,15,A32,A42,2708,A61,A72,2,1,A101,A122,1,A152,A172,1
A12,36,A32,A43,2323,A61,A74,4,1,A101,A123,0,A151,A173,1
A14,30,A32,A43,2333,A63,A75,4,1,A101,A123,1,A152,A174,1
A14,24,A33,A49,2375,A63,A73,4,1,A101,A123,1,A152,A173,1
A11,21,A32,A43,1835,A61,A73,3,0,A101,A121,1,A152,A173,0
A14,28,A31,A41,7824,A65,A72,3,1,A103,A121,1,A151,A173,1
A12,54,A30,A49,15945,A61,A72,3,1,A101,A124,1,A151,A173,0
A11,36,A32,A46,1977,A65,A75,4,1,A101,A124,1,A152,A174,0
A12,21,A32,A49,1188,A61,A75,2,0,A101,A122,1,A152,A173,0
A14,9,A32,A44,1236,A61,A72,1,0,A101,A121,0,A151,A173,1
A11,21,A34,A40,1602,A61,A75,4,1,A101,A123,1,A152,A173,1
A11,36,A34,A46,8065,A61,A73,3,0,A101,A124,1,A152,A174,0
A11,21,A32,A43,1835,A61,A73,3,0,A101,A121,1,A152,A173,0
A14,24,A32,A48,937,A61,A72,4,1,A101,A123,1,A152,A172,1
A11,18,A32,A42,3650,A61,A72,1,0,A101,A123,0,A151,A173,1
A11,24,A33,A43,1659,A61,A72,4,0,A101,A123,1,A151,A172,0
A14,27,A33,A41,8613,A64,A73,2,1,A101,A123,1,A152,A173,1
A13,10,A32,A42,1275,A61,A72,4,0,A101,A122,0,A152,A173,1
A12,48,A30,A40,8358,A63,A72,1,0,A101,A123,1,A152,A173,1
A13,12,A33,A40,2247,A61,A73,2,0,A101,A123,1,A152,A173,1
A14,20,A34,A40,3485,A65,A72,2,1,A101,A121,1,A152,A173,1
A14,18,A34,A40,1530,A61,A73,3,1,A101,A122,1,A152,A173,0
A14,30,A34,A43,3077,A65,A75,3,1,A101,A123,1,A152,A173,1
A12,18,A32,A40,5866,A62,A73,2,1,A101,A123,1,A152,A173,1
A14,24,A32,A43,1552,A61,A74,3,1,A101,A123,1,A152,A173,1
A11,12,A32,A43,701,A61,A73,4,1,A101,A121,1,A152,A172,1
A11,18,A32,A43,3190,A61,A73,2,0,A101,A121,0,A152,A173,0
A14,18,A34,A42,1817,A61,A73,4,0,A101,A124,1,A152,A173,1
A11,30,A34,A41,6187,A62,A74,1,1,A101,A123,0,A151,A173,1
A11,13,A34,A49,1797,A61,A72,3,1,A101,A122,1,A152,A172,1
A11,6,A32,A40,1374,A65,A71,4,0,A101,A122,1,A152,A174,1
A12,12,A32,A40,836,A62,A72,4,0,A101,A122,0,A152,A172,0
A12,12,A32,A40,836,A62,A72,4,0,A101,A122,0,A152,A172,0
A14,15,A34,A43,1459,A61,A73,4,0,A101,A123,1,A152,A172,1
A12,18,A34,A42,7374,A61,A71,4,1,A101,A122,1,A152,A174,1
A11,36,A32,A42,3620,A61,A73,1,1,A103,A122,1,A152,A173,1
A14,30,A32,A43,1867,A65,A75,4,1,A101,A123,1,A152,A173,1
